school_id,total_students,avg_wcpm,avg_wpm,avg_fluency,avg_pronunciation
SCH_134011,40,76.67241379310344,99.21379310344828,0.776896551724138,0.6889655172413793
SCH_134014,33,82.155,103.51000000000002,0.804,0.7
SCH_134016,5,69.1,95.6,0.61,0.6799999999999999
SCH_134018,65,84.77857142857142,104.30952380952381,0.795952380952381,0.7647619047619048
SCH_134023,27,84.8,104.25714285714287,0.8057142857142858,0.74
SCH_134026,87,79.01403508771931,99.95964912280701,0.7645614035087719,0.7036842105263158
SCH_134028,44,84.70666666666666,103.36666666666666,0.8006666666666666,0.7586666666666667
SCH_134031,15,94.63333333333333,114.49166666666667,0.8224999999999999,0.7308333333333333
SCH_134040,14,96.2375,112.3125,0.835,0.80375
SCH_134047,14,64.29090909090908,89.10909090909091,0.7681818181818181,0.6363636363636364
SCH_134054,15,60.223076923076924,83.37692307692308,0.7492307692307693,0.6330769230769231
SCH_134057,88,67.54262295081966,92.81803278688524,0.7822950819672131,0.6322950819672131
SCH_134062,63,71.13095238095238,93.78571428571429,0.7602380952380953,0.6388095238095238
SCH_134065,103,84.78196721311475,103.62295081967213,0.7591803278688525,0.751311475409836
SCH_134070,51,76.8162162162162,97.91351351351352,0.7308108108108108,0.66
SCH_134071,20,74.03999999999999,92.44666666666667,0.7973333333333333,0.6940000000000001
SCH_134076,16,74.17692307692307,94.36923076923078,0.7561538461538462,0.6869230769230769
SCH_134085,14,85.8,109.20909090909093,0.8136363636363636,0.7081818181818181
SCH_134096,52,75.57741935483871,96.79354838709678,0.7845161290322581,0.7025806451612904
SCH_134097,24,74.1470588235294,95.29411764705883,0.7435294117647059,0.6358823529411765
SCH_134102,12,87.85,106.1375,0.82625,0.6775
SCH_134108,22,75.625,99.48750000000001,0.760625,0.699375
SCH_134116,29,76.6,98.0,0.765,0.7
SCH_134118,52,67.72941176470587,88.54411764705883,0.6855882352941177,0.6223529411764706
SCH_134123,46,80.57333333333332,100.99666666666667,0.7266666666666667,0.715
SCH_134130,43,88.58571428571429,107.74000000000001,0.8042857142857144,0.7591428571428571
SCH_134141,111,75.10749999999999,98.91125000000001,0.7858750000000001,0.6715
SCH_134143,38,60.76206896551724,85.95517241379311,0.7293103448275863,0.553448275862069
SCH_134152,5,106.43333333333334,121.7,0.8133333333333334,0.8700000000000001
SCH_134162,23,61.279999999999994,86.94500000000001,0.7365,0.5780000000000001
SCH_134172,53,74.07297297297296,97.59189189189189,0.7481081081081081,0.6616216216216216
SCH_134174,24,62.3,83.9375,0.715,0.650625
SCH_134180,34,77.1,96.37619047619049,0.7676190476190476,0.659047619047619
SCH_134191,4,72.26666666666667,98.86666666666667,0.8266666666666667,0.7333333333333334
SCH_134195,29,76.64090909090909,99.28636363636365,0.7822727272727273,0.7000000000000001
SCH_134211,23,84.98124999999999,100.66250000000001,0.75125,0.71
SCH_134213,101,77.86901408450704,98.03380281690141,0.7536619718309859,0.6892957746478873
